Season,Episode,Title,Year,Total votes,Average rating,z-score
9,11,"All Singing, All Dancing",1998,"2,378.00",5.00,-2.65
9,12,Bart Carny,1998,"2,143.00",7.70,0.64
9,13,The Joy of Sect,1998,"2,384.00",8.30,1.37
9,14,Das Bus,1998,"2,334.00",8.20,1.24
9,15,The Last Temptation of Krust,1998,"1,993.00",7.50,0.39
9,16,Dumbbell Indemnity,1998,"2,018.00",7.70,0.64
9,17,Lisa the Simpson,1998,"2,245.00",8.00,1.00
9,18,This Little Wiggy,1998,"2,108.00",7.90,0.88
9,19,Simpson Tide,1998,"2,599.00",8.10,1.12
9,20,The Trouble with Trillions,1998,"2,423.00",7.80,0.76
9,21,Girly Edition,1998,"2,055.00",7.80,0.76
9,22,Trash of the Titans,1998,"2,788.00",8.40,1.49
9,23,King of the Hill,1998,"2,490.00",8.20,1.24
9,24,Lost Our Lisa,1998,"1,980.00",7.70,0.64
9,25,Natural Born Kissers,1998,"2,132.00",8.10,1.12
10,1,Lard of the Dance,1998,"2,130.00",7.60,0.51
10,2,The Wizard of Evergreen Terrace,1998,"2,555.00",8.10,1.12
10,3,Bart the Mother,1998,"2,030.00",7.60,0.51
10,4,Treehouse of Horror IX,1998,"2,378.00",8.10,1.12
10,5,When You Dish Upon a Star,1998,"2,030.00",7.30,0.15
10,6,D'oh-in' in the Wind,1998,"2,005.00",7.60,0.51
10,7,Lisa Gets an 'A',1998,"2,105.00",8.10,1.12
10,8,Homer Simpson in: 'Kidney Trouble',1998,"1,948.00",7.30,0.15
10,9,Mayored to the Mob,1998,"2,502.00",8.10,1.12
10,10,Viva Ned Flanders,1999,"2,092.00",7.90,0.88
10,11,Wild Barts Can't Be Broken,1999,"1,965.00",7.70,0.64
10,12,"Sunday, Cruddy Sunday",1999,"2,061.00",7.00,-0.22
10,13,Homer to the Max,1999,"2,020.00",7.70,0.64
10,14,I'm with Cupid,1999,"1,841.00",7.30,0.15
10,15,Marge Simpson in: 'Screaming Yellow Honkers',1999,"1,847.00",7.30,0.15
10,16,Make Room for Lisa,1999,"1,836.00",7.60,0.51
10,17,Maximum Homerdrive,1999,"1,943.00",7.70,0.64
10,18,Simpsons Bible Stories,1999,"1,897.00",7.40,0.27
10,19,Mom and Pop Art,1999,"1,961.00",7.70,0.64
10,20,The Old Man and the 'C' Student,1999,"1,740.00",7.30,0.15
10,21,Monty Can't Buy Me Love,1999,"1,760.00",7.10,-0.09
10,22,They Saved Lisa's Brain,1999,"1,782.00",7.30,0.15
10,23,Thirty Minutes Over Tokyo,1999,"2,148.00",8.00,1.00
11,1,Beyond Blunderdome,1999,"1,991.00",7.40,0.27
11,2,Brother's Little Helper,1999,"1,764.00",7.50,0.39
11,3,Guess Who's Coming to Criticize Dinner?,1999,"1,781.00",7.50,0.39
11,4,Treehouse of Horror X,1999,"2,078.00",7.80,0.76
11,5,E-I-E-I-(Annoyed Grunt),1999,"1,937.00",7.80,0.76
11,6,"Hello Gutter, Hello Fadder",1999,"1,662.00",7.30,0.15
11,7,Eight Misbehavin',1999,"1,688.00",7.00,-0.22
11,8,"Take My Wife, Sleaze",1999,"1,719.00",7.10,-0.09
11,9,Grift of the Magi,1999,"1,829.00",7.40,0.27
11,10,Little Big Mom,2000,"1,640.00",7.40,0.27
11,11,Faith Off,2000,"1,672.00",6.80,-0.46
11,12,The Mansion Family,2000,"1,662.00",7.30,0.15
11,13,Saddlesore Galactica,2000,"1,867.00",6.50,-0.82
11,14,"Alone Again, Natura-Diddly",2000,"2,346.00",7.70,0.64
11,15,Missionary: Impossible,2000,"1,745.00",7.30,0.15
11,16,Pygmoelian,2000,"1,661.00",7.30,0.15
11,17,Bart to the Future,2000,"1,846.00",7.10,-0.09
11,18,Days of Wine and D'oh'ses,2000,"1,644.00",7.40,0.27
11,19,Kill the Alligator and Run,2000,"1,811.00",6.60,-0.70
11,20,Last Tap Dance in Springfield,2000,"1,636.00",7.10,-0.09
11,21,"It's a Mad, Mad, Mad, Mad Marge",2000,"1,680.00",7.20,0.03
11,22,Behind the Laughter,2000,"2,081.00",7.90,0.88
12,1,Treehouse of Horror XI,2000,"1,967.00",7.60,0.51
12,2,A Tale of Two Springfields,2000,"1,803.00",7.40,0.27
12,3,Insane Clown Poppy,2000,"1,675.00",7.00,-0.22
12,4,Lisa the Treehugger,2000,"1,684.00",7.20,0.03
12,5,Homer vs. Dignity,2000,"1,754.00",7.00,-0.22
